2015/8/26
State  Region   Order Date   Shape Code  Material Code  radius   height   color  Customer Number  First Name   Last Name  Address
IA North 2015/8/26 p l 4.9 -1 Red M30-673785  Daniel Baer  3165 Williams Blvd Sw, Cedar Rapids, Ia 524041422
IA North 2015/4/24 y o 20.8 21.1 Violet A05-964994  Denise Jones  Suite 1, 20 Arena Way, Council Bluffs, Ia 515017065
IA North 2015/1/3 p o 11.5 -1 Violet M15-916199  Mark Owens  Ste 100, 1100 6Th Street, Coralville, Ia 522411756
IA North 2015/2/1 p o 16.6 -1 Red M30-858795  John Paletta  2502 S 2Nd St, Marshalltown, Ia 501584403
IL North 2015/5/26 y o 30 32.8 Yellow A05-679813  Monica Ayala  1033, University Place, Evanston, Il 602013196
IL North 2015/3/28 y o 19.3 20.7 Red M30-525438  Delores Britton  15401 S 94Th Ave, Orland Park, Il 604623827
IL North 2015/6/6 p c 32.6 -1 Violet A05-912535  James Bushman  790 Fletcher Dr, Elgin, Il 601234755
IL North 2015/7/28 o l 30.7 34.1 Yellow A05-638244  Wanda Cepulkowski  Ste 201, 2301 W 22Nd St, Oak Brook, Il 605231223
IL North 2015/2/12 p o 6.7 -1 Yellow A05-303382  Linda Christian  1670 Lebanon Avenue, Belleville, Il 622212466
IL North 2015/2/23 o o 6.3 6.4 Violet M30-551018  Matthew Dietrich  Suite 2951, 200 W Adams St, Chicago, Il 606065210
IL North 2015/7/31 o l 14.3 18.2 Green A05-845973  Judith Fredricks  10Th Fl, 600 West Madison St, Chicago, Il 606612406
IL North 2015/7/13 p c 8.5 -1 Orange U02-691206  Carole Grayson  10Th Floor, 600 W Madison Street, Chicago, Il 606612406
IL North 2015/7/7 o c 11.8 12.1 Violet A05-594023  Juan Herrera  5130 W North Ave, Chicago, Il 606394447
IL North 2015/1/9 o o 30.8 31.2 Orange M30-345308  Justin Kessl  2416 S Pulaski Rd, Chicago, Il 606233718
IL North 2015/3/13 o o 20.9 21.4 Violet U02-859602  Valeria Knighton  552 Houbolt Road, Joliet, Il 604318318
IL North 2015/2/4 p c 14.8 -1 Blue M30-373443  Brian Larson  400 N Vermilion St, Danville, Il 618324648
IL North 2015/8/5 o o 27.1 28.4 Blue M30-710768  Babafemi Littlejohn  Fmt 10Th Fl, 600 W Madison St, Chicago, Il 606612406
IL North 2015/2/22 y c 35.2 40 Turquoise M15-684215  Lakeisel Marks-Evans  5Th Fl, 600 W Madison Ne, Chicago, Il 606612406
IL North 2015/1/7 o l 33.8 41.8 Violet M30-310721  Khrusharon Mccullough  5Th Flr Sw, 600 W Madison St, Chicago, Il 606612406
IL North 2015/7/22 o c 22.5 27.3 Red M15-873486  Karel Muehring  3328 W Willow Knolls Dr, Peoria, Il 616141008
IL North 2015/1/17 o l 4.5 5.7 Green U02-576300  Victoria Odonnell  1St Flr Health Unit, 600 W Madison, Chicago, Il 606612406
IL North 2015/8/25 p c 10 -1 Indigo M30-425697  Noemi Quinones  200 W Adams, Ste 2901, Chicago, Il 606065234
